Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$19.00,0.00,0.00%,33766895.00,United States,,2549,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.245,0.00,0.00%,33619245.00,Canada,2015,260579,,
ACU,Acme United Corporation. Common Stock,$23.77,0.08,0.338%,84020508.00,United States,1988,8129,Consumer Discretionary,Home Furnishings
ADRA,Adara Acquisition Corp. Class A Common Stock,$10.0848,0.0048,0.048%,144969000.00,United States,2021,506,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,$10.1198,-0.0502,-0.494%,145472125.00,,2022,7340,Industrials,Consumer Electronics/Appliances
AE,Adams Resources & Energy Inc. Common Stock,$37.03,-0.77,-2.037%,90812520.00,United States,1980,15545,Energy,Oilfield Services/Equipment
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.27,0.04,0.765%,267461870.00,United States,,30930,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.55,-0.006,-1.079%,20870934.00,,2018,34787,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.4002,0.0002,0.05%,15883943.00,United States,1997,104067,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$14.3049,-0.2851,-1.954%,44560636.00,United States,2014,3008,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$5.60,-0.03,-0.533%,18188447.00,United States,,6634,Industrials,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.328,-0.0071,-2.119%,8328960.00,China,,24398,Consumer Discretionary,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.345,-0.0301,-8.025%,5204598.00,United States,2022,228585,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.945,0.035,1.203%,18120585.00,United States,1988,3260,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.0759,-0.0141,-0.345%,51009709.00,Canada,2000,43783,,
AREN,The Arena Group Holdings Inc. Common Stock,$14.00,0.18,1.302%,255430560.00,,2022,22966,Technology,Interactive Media
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.25,0.00,0.00%,81325589.00,United States,,36504,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.707,0.0027,0.383%,83672807.00,Canada,,254131,,
ASXC,Asensus Surgical Inc. Common Stock,$0.407,-0.0002,-0.049%,96393836.00,United States,,348752,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$11.27,0.41,3.775%,287196859.00,United States,,233241,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.2604,0.0073,2.884%,43611269.00,United States,,516303,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$1.01,0.0199,2.01%,13404468.00,,2022,13400,,
AWX,Avalon Holdings Corporation Common Stock,$2.889,0.069,2.447%,11265456.00,United States,1998,808,Utilities,Environmental Services
BATL,Battalion Oil Corporation Common Stock,$10.30,-0.79,-7.124%,168351595.00,,,32859,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$17.72,0.21,1.199%,104014415.00,United States,1972,46152,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$24.0413,0.00,0.00%,,United States,,52,,
BDL,Flanigan's Enterprises Inc. Common Stock,$28.39,-0.1099,-0.386%,52766988.00,United States,1972,1684,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$5.15,-0.01,-0.194%,96229743.00,Canada,,5377,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$31.17,0.52,1.697%,469595375.00,United States,1997,11570,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$24.79,0.63,2.608%,95280415.00,,2022,53216,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$2.85,-0.05,-1.724%,48405246.00,United States,,176666,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$4.95,-0.06,-1.198%,60580313.00,,2018,54014,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$12.88,-0.11,-0.847%,244027932.00,,,11787,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$3.13,0.00,0.00%,31164430.00,United States,1965,26232,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.57,0.01,0.281%,3836202994.00,Canada,,7200669,,
BTN,Ballantyne Strong Inc. Common Stock,$2.54,0.045,1.804%,49452908.00,United States,,14108,Consumer Discretionary,Industrial Machinery/Components
BTTR,Better Choice Company Inc. Common Stock,$0.70,0.0025,0.358%,20583870.00,,2021,8226,Consumer Discretionary,Food Distributors
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$0.8399,0.0069,0.828%,22838177.00,Israel,,10221,Health Care,Biotechnology: Pharmaceutical Preparations
CCEL,Cryo-Cell International Inc. Common Stock,$4.50,-0.09,-1.961%,38336625.00,United States,2022,7302,Health Care,Managed Health Care
CCF,Chase Corporation Common Stock,$95.68,0.59,0.62%,908377692.00,United States,1995,13501,Consumer Discretionary,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,$0.1091,-0.0007,-0.638%,78458816.00,United States,,25687773,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$35.77,0.10,0.28%,975443751.00,United States,1951,15562,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.13,-0.01,-0.099%,72263115.00,United States,1999,46602,Finance,Finance/Investors Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.78,-0.01,-0.358%,145502398.00,United States,,57304,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$18.60,-0.43,-2.26%,228913120.00,United States,1998,3682,Technology,Security Systems Services
CKX,CKX Lands Inc. Common Stock,$10.64,0.00,0.00%,21007903.00,United States,2003,14,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$8.505,-0.035,-0.41%,1739881696.00,United States,2003,762437,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$11.72,0.26,2.269%,150404237.00,Canada,,32557,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$10.77,-0.06,-0.554%,96072730.00,United States,1996,9650,Consumer Discretionary,Electronic Components
COHN,Cohen & Company Inc.,$8.7589,0.4189,5.023%,15038523.00,United States,,14605,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.1129,0.0013,1.165%,5830442.00,China,,327189,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$59.51,0.31,0.524%,28804721885.00,United States,2007,128665,Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$8.23,-0.01,-0.121%,799540879.00,United States,2003,417736,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$23.25,0.3499,1.528%,157509218.00,,2021,850,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.965,0.045,4.891%,40085465.00,,2022,66431,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$2.90,-0.12,-3.974%,125765640.00,United States,1997,145673,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.8801,-0.6199,-2.254%,25969725.00,United States,1930,693,Consumer Discretionary,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.59,0.04,1.127%,44456503.00,United States,2022,112041,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.3569,-0.008,-2.192%,63014129.00,,,1229311,Health Care,Pharmaceuticals and Biotechnology
DC,Dakota Gold Corp. Common Stock,$3.60,0.03,0.84%,263441704.00,,2022,117839,Basic Materials,Precious Metals
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.98,0.01,0.508%,204957195.00,United States,1998,145103,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$172.02,0.90,0.526%,105113165.00,United States,1999,905,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$13.14,0.24,1.86%,90871812.00,United States,2000,13522,Consumer Discretionary,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.62,0.00,0.00%,137413108.00,United States,1988,70449,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.18,-0.01,-0.84%,970213318.00,Canada,,1784263,,
DPSI,DecisionPoint Systems Inc. Common Stock,$8.7999,-0.0395,-0.447%,65097207.00,,2022,115342,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$0.222,0.0049,2.257%,30861812.00,United States,,126958,,
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.219,0.0179,8.901%,4572542.00,China,,48425,Consumer Discretionary,Apparel
EAD,Allspring Income Opportunities Fund Common Shares,$6.95,-0.21,-2.933%,418710562.00,United States,2003,232665,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.54,0.05,0.589%,118808600.00,United States,1986,81470,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$22.80,-0.01,-0.044%,,United States,,794,,
EFSH,1847 Holdings LLC Common Shares,$2.31,-0.06,-2.532%,9422806.00,,2022,151088,Industrials,Consumer Electronics/Appliances
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.25,-0.08,-0.774%,737520136.00,United States,2002,369549,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$5.32,0.02,0.377%,143237707.00,United States,,43239,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$15.00,0.00,0.00%,192788775.00,Israel,,32,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$9.96,0.10,1.014%,84511237.00,United States,2011,29773,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$0.86,0.0075,0.88%,67266253.00,United States,,267179,Technology,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$1.99,0.0927,4.886%,220088408.00,Canada,,204077,,
ENSV,Enservco Corporation Common Stock,$2.36,-0.02,-0.84%,27120230.00,United States,,139930,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.19,0.01,0.109%,165064246.00,United States,2002,24340,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$13.20,0.04,0.304%,291667926.00,United States,2022,7983,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$7.20,0.04,0.559%,242758519.00,United States,,155356,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$3.85,-0.04,-1.028%,1174468776.00,Canada,,1774367,,
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.95,-0.09,-0.896%,279288291.00,United States,2003,76114,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$11.61,0.01,0.086%,107883104.00,,2004,15022,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$13.42,-0.03,-0.223%,36269335.00,United States,1960,691,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$38.87,1.14,3.021%,214327237.00,United States,,14596,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$24.13,0.29,1.216%,332932927.00,United States,1999,63792,Industrials,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$8.875,-0.025,-0.281%,218972334.00,United States,2002,87638,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$10.21,-0.13,-1.257%,1186437327.00,United States,2003,329833,Finance,Finance/Investors Services
EXN,Excellon Resources Inc. Common Shares,$0.29,-0.0071,-2.39%,10626488.00,,2020,55088,,
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.63,-0.01,-0.379%,651439872.00,United States,1986,958283,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$4.60,0.05,1.099%,44097785.00,United States,1992,52825,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$14.77,0.06,0.408%,287377468.00,United States,2004,44116,Finance,Finance/Investors Services
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.47,-0.0257,-5.185%,14657922.00,,2022,137368,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$8.95,-0.3617,-3.884%,65949086.00,United States,1975,8488,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.23,0.01,0.311%,40002730.00,Canada,2002,8722,Consumer Discretionary,Recreational Games/Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$3.02,0.04,1.342%,311772460.00,United States,,1323335,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.46,-0.07,-1.072%,261018716.00,United States,2003,112431,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.3799,0.0068,1.823%,52985014.00,,2020,192433,,
GAU,Galiano Gold Inc.,$0.593,0.00,0.00%,133391468.00,Canada,,162787,,
GBR,New Concept Energy Inc Common Stock,$1.30,0.01,0.775%,6671514.00,United States,1993,30383,Real Estate,Real Estate
GENC,Gencor Industries Inc. Common Stock,$10.79,0.11,1.03%,158156605.00,United States,,18763,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.58,-0.03,-0.831%,551886782.00,United States,2005,530604,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.66,0.11,0.488%,,United States,,2158,,
GLDG,GoldMining Inc. Common Shares,$1.55,0.14,9.929%,246037489.00,,,8307949,,
GLO,Clough Global Opportunities Fund Common Stock,$5.85,0.06,1.036%,241900641.00,United States,2006,349174,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$7.45,0.065,0.88%,137584462.00,United States,2005,156073,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$10.12,0.00,0.00%,181843750.00,,2021,54,Finance,Business Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$15.27,-0.11,-0.715%,91145271.00,United States,2004,5232,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$49.55,-0.03,-0.061%,,United States,,200,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$7.5439,0.3239,4.486%,94707735.00,United States,2004,39063,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.405,-0.017,-4.028%,9999719.00,,2022,320133,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$1.71,0.02,1.183%,151160766.00,United States,,222884,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.09,0.00,0.00%,35697003.00,United States,,52,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.20,-0.08,-6.25%,38988784.00,,2022,30256,,
GROY,Gold Royalty Corp. Common Shares,$2.81,-0.06,-2.091%,404395724.00,,2021,342405,,
GSAT,Globalstar Inc. Common Stock,$1.87,0.01,0.538%,3367870000.00,United States,2006,2928839,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$1.13,-0.02,-1.739%,404726356.00,Canada,,3055923,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.12,-0.04,-0.394%,117708250.00,,2022,2227,Industrials,Consumer Electronics/Appliances
HNW,Pioneer Diversified High Income Fund Inc.,$10.42,-0.05,-0.478%,86848189.00,United States,2007,28427,Finance,Finance/Investors Services
HPX,HPX Corp. Class A Ordinary Shares,$9.87,0.00,0.00%,119747943.00,United States,2020,4000,Finance,Business Services
HUSA,Houston American Energy Corporation Common Stock,$4.00,0.02,0.503%,39713352.00,United States,,232769,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$62.00,0.00,0.00%,,United States,,354,,
HZON,Horizon Acquisition Corporation II Class A Ordinary Shares,$9.92,-0.01,-0.101%,301057398.00,United States,2020,16843,Finance,Business Services
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.73,-0.02,-0.421%,115314799.00,United States,1985,30117,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$2.93,-0.01,-0.34%,704280048.00,,2022,604379,,
IBIO,iBio Inc. Common Stock,$1.70,0.10,6.25%,15280929.00,United States,,96287,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$1.28,0.03,2.40%,43666495.00,United States,2017,8079,Consumer Discretionary,Auto Parts:O.E.M.
IDR,Idaho Strategic Resources Inc. Common Stock,$6.05,0.16,2.716%,73193324.00,,2022,18009,Basic Materials,Precious Metals
IDW,IDW Media Holdings Class B Common Stock,$1.21,0.0099,0.825%,17036205.00,,2021,379,Consumer Discretionary,Newspapers/Magazines
IE,Ivanhoe Electric Inc. Common Stock,$11.82,1.64,16.11%,1097935191.00,,2022,329192,Basic Materials,Metal Mining
IGC,India Globalization Capital Inc. Common Stock,$0.4389,0.0426,10.749%,23291298.00,United States,,290159,Consumer Discretionary,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.72,-0.04,-2.273%,15687656.00,United States,1999,3256,Real Estate,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$0.2447,-0.0252,-9.337%,8947938.00,United States,1997,41770,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$55.93,-0.30,-0.534%,33828833922.00,Canada,1929,268055,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$6.30,0.04,0.639%,63898972.00,,2019,114560,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$8.87,0.07,0.795%,183222037.00,United States,,46860,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.70,0.42,9.813%,,,2022,27173,Technology,EDP Services
INTT,inTest Corporation Common Stock,$11.00,-0.27,-2.396%,121252439.00,United States,1997,16137,Technology,Semiconductors
INUV,Inuvo Inc.,$0.2999,0.0096,3.307%,36028452.00,United States,,279636,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.02,0.00,0.00%,50104336.00,United States,1987,38,Finance,Diversified Financial Services
