,Symbol,Name,Company Token,Market Cap,Country
0,aadi,aadi bioscience inc. common stock,['aadi'],194029701.0,united states
3,abeo,abeona therapeutics inc. common stock,['abeona'],59198980.0,united states
5,abos,acumen pharmaceuticals inc. common stock,['acumen'],211997008.0,united states
6,absi,absci corporation common stock,['absci'],129352873.0,united states
8,abvc,abvc biopharma inc. common stock,['abvc'],26464592.0,united states
9,acad,acadia pharmaceuticals inc. common stock,['acadia'],3564197142.0,united states
11,acer,acer therapeutics inc. common stock (de),['acer'],17858920.0,united states
12,acet,adicet bio inc. common stock ,['adicet'],126354391.0,united states
17,aciu,ac immune sa common stock,['ac'],173094153.0,switzerland
18,aclx,arcellx inc. common stock,['arcellx'],2105455476.0,united states
22,acrx,acelrx pharmaceuticals inc. common stock,['acelrx'],7080616.0,united states
23,acst,acasti pharma inc. class a common stock,['acasti'],20071313.0,canada
24,acxp,acurx pharmaceuticals inc. common stock,['acurx'],34822444.0,united states
25,adag,adagene inc. american depositary shares,['adagene'],57958440.0,china
27,adct,adc therapeutics sa common shares,['adc'],159672203.0,
28,adil,adial pharmaceuticals inc common stock,['adial'],8420941.0,united states
29,adilw,adial pharmaceuticals inc warrant,['adial'],0.0,united states
31,admp,adamis pharmaceuticals corporation common stock,['adamis'],12902453.0,united states
36,adtx,aditxt inc. common stock,['aditxt'],3454639.0,united states
39,adxn,addex therapeutics ltd american depositary shares,['addex'],10562352.0,switzerland
42,afmd,affimed n.v.,"['affimed', '.']",131672492.0,germany
43,age,agex therapeutics inc. common stock,['agex'],22645517.0,
45,agio,agios pharmaceuticals inc. common stock,['agios'],1434651537.0,united states
46,agle,aeglea biotherapeutics inc. common stock,['aeglea'],10620174.0,united states
47,agrx,agile therapeutics inc. common stock,['agile'],5536680.0,united states
52,aimd,ainos inc. common stock,['ainos'],16009282.0,united states
53,aimdw,ainos inc. warrants,['ainos'],0.0,united states
56,akba,akebia therapeutics inc. common stock,['akebia'],190051858.0,united states
57,akro,akero therapeutics inc. common stock,['akero'],2122149283.0,united states
58,aktx,akari therapeutics plc ads,"['akari', 'ads']",17948061.0,united kingdom
60,aldx,aldeyra therapeutics inc. common stock,['aldeyra'],619272825.0,united states
61,alec,alector inc. common stock,['alector'],613576255.0,united states
62,algs,aligos therapeutics inc. common stock,['aligos'],54104512.0,united states
64,alim,alimera sciences inc. common stock,['alimera'],13731479.0,united states
65,alks,alkermes plc ordinary shares,['alkermes'],4830574379.0,ireland
66,allk,allakos inc. common stock,['allakos'],371343751.0,united states
68,allr,allarity therapeutics inc. common stock,['allarity'],1526583.0,united states
69,alpn,alpine immune sciences inc. common stock,['alpine'],355311388.0,united states
70,alrn,aileron therapeutics inc. common stock,['aileron'],6130575.0,united states
71,alt,altimmune inc. common stock,['altimmune'],244423151.0,united states
72,alvo,alvotech ordinary shares,['alvotech'],2574539879.0,luxembourg
74,alxo,alx oncology holdings inc. common stock,['alx'],259071731.0,united states
79,amlx,amylyx pharmaceuticals inc. common stock,['amylyx'],1944849427.0,united states
80,ampe,ampio pharmaceuticals inc.,"['ampio', '.']",3470641.0,united states
81,amph,amphastar pharmaceuticals inc. common stock,['amphastar'],1761460619.0,united states
82,amrn,amarin corporation plc,['amarin'],566531431.0,ireland
83,amrx,amneal pharmaceuticals inc. class a common stock,['amneal'],300498745.0,
86,anab,anaptysbio inc. common stock,['anaptysbio'],608896410.0,united states
87,aneb,anebulo pharmaceuticals inc. common stock,['anebulo'],62291281.0,united states
88,angn,angion biomedica corp. common stock,['angion'],22889796.0,united states
91,anip,ani pharmaceuticals inc.,"['ani', '.']",698043788.0,united states
92,anix,anixa biosciences inc. common stock,['anixa'],122153229.0,united states
93,annx,annexon inc. common stock,['annexon'],265594521.0,united states
95,antx,an2 therapeutics inc. common stock,['an2'],113117496.0,united states
96,anvs,annovis bio inc. common stock,['annovis'],117786079.0,united states
98,apgn,apexigen inc. common stock,['apexigen'],11093646.0,united states
99,apgnw,apexigen inc. warrant,['apexigen'],0.0,united states
100,aplt,applied therapeutics inc. common stock,['applied'],74094884.0,united states
101,apm,aptorum group limited class a ordinary shares,['aptorum'],18857710.0,hong kong
104,aptx,aptinyx inc. common stock,['aptinyx'],5281826.0,united states
105,apvo,aptevo therapeutics inc. common stock,['aptevo'],12467817.0,united states
107,aqst,aquestive therapeutics inc. common stock,['aquestive'],113417229.0,united states
108,arav,aravive inc. common stock,['aravive'],97547106.0,united states
110,arct,arcturus therapeutics holdings inc. common stock,['arcturus'],719255257.0,israel
111,ards,aridis pharmaceuticals inc. common stock,['aridis'],6457878.0,united states
112,ardx,ardelyx inc. common stock,['ardelyx'],956061034.0,united states
114,arqt,arcutis biotherapeutics inc. common stock,['arcutis'],903232978.0,united states
115,artl,artelo biosciences inc. common stock,['artelo'],4740442.0,united states
116,artlw,artelo biosciences inc. warrant,['artelo'],0.0,united states
117,arvn,arvinas inc. common stock,['arvinas'],1341908858.0,united states
118,arwr,arrowhead pharmaceuticals inc. common stock,['arrowhead'],4471043529.0,united states
120,asln,aslan pharmaceuticals limited american depositary shares,['aslan'],70620116.0,singapore
121,asmb,assembly biosciences inc. common stock,['assembly'],52223329.0,united states
122,asnd,ascendis pharma a/s american depositary shares,"['ascendis', 'a/s']",5413465382.0,denmark
123,asrt,assertio holdings inc. common stock,['assertio'],344005331.0,united states
125,atai,atai life sciences n.v. common shares,['atai'],334511109.0,germany
128,athe,alterity therapeutics limited american depositary shares,['alterity'],12122366.0,australia
129,athx,athersys inc. common stock,['athersys'],14539254.0,united states
131,atnf,180 life sciences corp. common stock,['180'],26361760.0,united states
132,atnfw,180 life sciences corp. warrant,['180'],0.0,united states
133,atnm,actinium pharmaceuticals inc. (delaware) common stock,['actinium'],227962218.0,united states
134,atnx,athenex inc. common stock,['athenex'],11608700.0,united states
140,atxi,avenue therapeutics inc. common stock,['avenue'],6063032.0,united states
141,atxs,astria therapeutics inc. common stock,['astria'],355814706.0,united states
142,auph,aurinia pharmaceuticals inc ordinary shares,['aurinia'],1657048994.0,canada
143,aura,aura biosciences inc. common stock,['aura'],368550995.0,united states
146,avdl,avadel pharmaceuticals plc american depositary shares,['avadel'],1148333780.0,france
151,avte,aerovate therapeutics inc. common stock,['aerovate'],542245372.0,united states
152,avtx,avalo therapeutics inc. common stock,['avalo'],34321391.0,united states
156,axla,axcella health inc. common stock,['axcella'],14287174.0,united states
158,axsm,axsome therapeutics inc. common stock,['axsome'],3199991836.0,united states
159,aytu,aytu biopharma inc.  common stock,['aytu'],5819232.0,united states
163,bbio,bridgebio pharma inc. common stock,['bridgebio'],2180275372.0,united states
167,bcda,biocardia inc. common stock,['biocardia'],41540679.0,united states
169,bcel,atreca inc. class a common stock,['atreca'],39156584.0,united states
173,bctxw,briacell therapeutics corp. warrant,['briacell'],0.0,canada
174,bcyc,bicycle therapeutics plc american depositary shares,['bicycle'],650706714.0,united kingdom
175,bdrx,biodexa pharmaceuticals plc american depositary shs,['biodexa'],3802754.0,united kingdom
181,bfri,biofrontera inc. common stock,['biofrontera'],15752411.0,united states
182,bfriw,biofrontera inc. warrants,['biofrontera'],0.0,united states
183,bgxx,bright green corporation common stock,"['bright', 'green']",194482548.0,united states
184,bhc,bausch health companies inc. common stock,['bausch'],2121622851.0,canada
186,bhvn,biohaven ltd. common shares ,['biohaven'],972027826.0,
193,bivi,biovie inc. class a common stock,['biovie'],290367799.0,united states
196,blcm,bellicum pharmaceuticals inc. common stock,['bellicum'],3618519.0,united states
198,blph,bellerophon therapeutics inc. common stock,['bellerophon'],94660556.0,united states
199,blrx,biolinerx ltd. american depositary shares,['biolinerx'],73221409.0,israel
200,blte,belite bio inc american depositary shares,['belite'],702595696.0,united states
203,bmea,biomea fusion inc. common stock,['biomea'],1150215974.0,united states
209,bntc,benitec biopharma inc. common stock,['benitec'],6141865.0,united states
210,bolt,bolt biotherapeutics inc. common stock,['bolt'],61635250.0,united states
212,bpmc,blueprint medicines corporation common stock,['blueprint'],3361477189.0,united states
213,bpth,bio-path holdings inc. common stock,['bio-path'],11860644.0,united states
214,bpts,biophytis sa american depositary share (0.01 euro),"['biophytis', '0.01']",10714965.0,france
217,btai,bioxcel therapeutics inc. common stock,['bioxcel'],675632093.0,united states
221,bttx,better therapeutics inc. common stock,['better'],29760559.0,united states
228,bwv,blue water biotech inc. common stock,"['blue', 'water']",16309058.0,united states
229,bxrx,baudax bio inc. common stock,['baudax'],1951946.0,united states
230,bysi,beyondspring inc. ordinary shares,['beyondspring'],27129641.0,united states
231,caba,cabaletta bio inc. common stock,['cabaletta'],395679986.0,united states
232,cadl,candel therapeutics inc. common stock,['candel'],48006885.0,united states
233,calt,calliditas therapeutics ab american depositary shares,"['calliditas', 'ab']",762988539.0,sweden
234,canf,can-fite biopharma ltd sponsored adr (israel),"['can-fite', 'adr']",8573861.0,israel
237,cara,cara therapeutics inc. common stock,['cara'],236677534.0,united states
238,carm,carisma therapeutics inc. common stock,['carisma'],0.0,united states
241,cbay,cymabay therapeutics inc. common stock,['cymabay'],1021970880.0,united states
242,cbio,catalyst biosciences inc. common stock,['catalyst'],6572154.0,united states
243,cccc,c4 therapeutics inc. common stock,['c4'],161377300.0,united states
249,cdmo,avid bioservices inc. common stock,"['avid', 'bioservices']",1165877124.0,united states
251,cdtx,cidara therapeutics inc. common stock,['cidara'],93458833.0,united states
254,celc,celcuity inc. common stock,['celcuity'],211471894.0,united states
256,celu,celularity inc. class a common stock,['celularity'],81804815.0,united states
257,celuw,celularity inc. warrant,['celularity'],0.0,united states
258,celz,creative medical technology holdings inc. common stock,['creative'],9008792.0,united states
259,cere,cerevel therapeutics holdings inc. common stock,['cerevel'],5056877243.0,united states
262,cfrx,contrafect corporation common stock,['contrafect'],2773558.0,united states
264,cgem,cullinan oncology inc. common stock,['cullinan'],376518262.0,united states
266,cgtx,cognition therapeutics inc. common stock,['cognition'],49428749.0,united states
270,cing,cingulate inc. common stock,['cingulate'],12616301.0,united states
271,cingw,cingulate inc. warrants,['cingulate'],0.0,united states
273,ckpt,checkpoint therapeutics inc. common stock,['checkpoint'],44818657.0,united states
277,clnn,clene inc. common stock,['clene'],72070144.0,united states
280,clrb,cellectar biosciences inc.  common stock,['cellectar'],14376988.0,united states
281,clsd,clearside biomedical inc. common stock,['clearside'],62591585.0,united states
284,cmmb,chemomab therapeutics ltd. american depositary share,['chemomab'],16712841.0,israel
285,cmnd,clearmind medicine inc. common shares,['clearmind'],3296865.0,canada
286,cmps,compass pathways plc american depository shares,"['compass', 'pathways']",360935749.0,united kingdom
287,cmpx,compass therapeutics inc. common stock,['compass'],420004810.0,united states
290,cmrx,chimerix inc. common stock,['chimerix'],102309064.0,united states
292,cnsp,cns pharmaceuticals inc. common stock,['cns'],3717963.0,united states
293,cnta,centessa pharmaceuticals plc american depositary shares,['centessa'],441569436.0,united kingdom
294,cntb,connect biopharma holdings limited american depositary shares,['connect'],66049496.0,china
296,cntx,context therapeutics inc. common stock,['context'],8781329.0,united states
297,cocp,cocrystal pharma inc. common stock,['cocrystal'],25841427.0,united states
301,cogt,cogent biosciences inc. common stock,['cogent'],801698727.0,united states
302,coll,collegium pharmaceutical inc. common stock,['collegium'],791559548.0,united states
303,cort,corcept therapeutics incorporated common stock,['corcept'],2446944569.0,united states
304,cosm,cosmos health inc. common stock,['cosmos'],33136490.0,united states
305,coya,coya therapeutics inc. common stock,['coya'],54529496.0,united states
306,cphi,china pharma holdings inc. common stock,[],3009390.0,china
307,cpix,cumberland pharmaceuticals inc. common stock,['cumberland'],24472182.0,united states
308,cprx,catalyst pharmaceuticals inc. common stock,['catalyst'],1828102543.0,united states
309,crbp,corbus pharmaceuticals holdings inc. common stock,['corbus'],39580099.0,united states
314,crmd,cormedix inc. common stock,['cormedix'],221163946.0,united states
315,crnx,crinetics pharmaceuticals inc. common stock,['crinetics'],1215644906.0,united states
318,crvs,corvus pharmaceuticals inc. common stock,['corvus'],56650594.0,united states
321,ctic,cti biopharma corp. (de) common stock,['cti'],643359153.0,united states
323,ctlt,catalent inc. common stock,['catalent'],8588515134.0,united states
324,ctmx,cytomx therapeutics inc. common stock,['cytomx'],112587678.0,united states
326,ctxr,citius pharmaceuticals inc. common stock,['citius'],187941269.0,united states
327,cue,cue biopharma inc. common stock,['cue'],210877966.0,united states
329,cvac,curevac n.v. ordinary shares,['curevac'],1812476931.0,germany
334,cyad,celyad oncology sa american depositary shares,['celyad'],13716791.0,belgium
335,cybn,cybin inc. common shares,['cybin'],57946718.0,
336,cycc,cyclacel pharmaceuticals inc. common stock,['cyclacel'],6816303.0,united states
337,cyccp,cyclacel pharmaceuticals inc. 6% convertible preferred stock,"['cyclacel', '6', '%']",0.0,united states
338,cycn,cyclerion therapeutics inc. common stock,['cyclerion'],12295783.0,united states
340,cyt,cyteir therapeutics inc. common stock,['cyteir'],79314510.0,united states
341,cyth,cyclo therapeutics inc. common stock,['cyclo'],14474930.0,united states
342,cytk,cytokinetics incorporated common stock,['cytokinetics'],3767152874.0,united states
343,cyto,altamira therapeutics ltd. 0.2 common shares (bermuda),"['altamira', '0.2', 'bermuda']",2461059.0,bermuda
344,dare,dare bioscience inc. common stock,['dare'],86170378.0,united states
345,dawn,day one biopharmaceuticals inc. common stock,"['day', 'one']",1004463833.0,united states
346,dbtx,decibel therapeutics inc. common stock,['decibel'],84550646.0,united states
349,dcph,deciphera pharmaceuticals inc. common stock,['deciphera'],1023009915.0,united states
351,derm,journey medical corporation common stock,['journey'],27641478.0,united states
352,dffn,diffusion pharmaceuticals inc. common stock,['diffusion'],7751536.0,united states
353,dice,dice therapeutics inc. common stock,['dice'],1831152901.0,united states
360,drma,dermata therapeutics inc. common stock,['dermata'],1487815.0,united states
361,drmaw,dermata therapeutics inc. warrant,['dermata'],0.0,united states
362,drrx,durect corporation common stock,['durect'],106876444.0,united states
363,drts,alpha tau medical ltd. ordinary shares,"['alpha', 'tau']",200899249.0,israel
366,dsgn,design therapeutics inc. common stock,['design'],433578020.0,united states
367,dtil,precision biosciences inc. common stock,[],94562174.0,united states
369,dvax,dynavax technologies corporation common stock,['dynavax'],1438241499.0,united states
375,ebs,emergent biosolutions inc. common stock,['emergent'],450057801.0,united states
378,edit,editas medicine inc. common stock,['editas'],681042636.0,united states
379,edsa,edesa biotech inc. common shares,['edesa'],21262185.0,united states
380,eftr,effector therapeutics inc. common stock,['effector'],20776597.0,united states
381,eftrw,effector therapeutics inc. warrant,['effector'],0.0,united states
382,egrx,eagle pharmaceuticals inc. common stock,['eagle'],374209350.0,united states
387,elan,elanco animal health incorporated common stock,['elanco'],4593267595.0,united states
388,eldn,eledon pharmaceuticals inc. common stock,['eledon'],37460464.0,united states
389,elev,elevation oncology inc. common stock,['elevation'],93481988.0,united states
391,elox,eloxx pharmaceuticals inc. common stock,['eloxx'],11265051.0,united states
392,elvn,enliven therapeutics inc. common stock,['enliven'],783524727.0,united states
393,elym,eliem therapeutics inc common stock,['eliem'],91441436.0,united states
395,enlv,enlivex therapeutics ltd. ordinary shares,['enlivex'],37025370.0,israel
396,enob,enochian biosciences inc. common stock,['enochian'],72354489.0,united states
397,ensc,ensysce biosciences inc. common stock,['ensysce'],4267744.0,united states
402,envb,enveric biosciences inc. common stock,['enveric'],4218890.0,united states
406,eq,equillium inc. common stock,['equillium'],18239499.0,united states
407,eqrx,eqrx inc.  common stock,['eqrx'],899028926.0,united states
408,eqrxw,eqrx inc. warrant,['eqrx'],0.0,united states
409,eras,erasca inc. common stock,['erasca'],438213938.0,united states
410,erna,eterna therapeutics inc. common stock,['eterna'],16330289.0,united states
412,espr,esperion therapeutics inc. common stock,['esperion'],127372046.0,united states
414,etnb,89bio inc. common stock,['89bio'],1212518611.0,united states
415,eton,eton pharmaceuticals inc. common stock,['eton'],91540314.0,united states
419,evo,evotec se american depositary shares,"['evotec', 'se']",3335557509.0,germany
420,evok,evoke pharma inc. common stock,['evoke'],7354754.0,united states
421,ewtx,edgewise therapeutics inc. common stock,['edgewise'],613013276.0,united states
425,eyen,eyenovia inc. common stock,['eyenovia'],172911834.0,united states
426,eypt,eyepoint pharmaceuticals inc. common stock,['eyepoint'],225535163.0,united states
428,fbio,fortress biotech inc. common stock,['fortress'],95230611.0,united states
429,fbiop,fortress biotech inc. 9.375% series a cumulative redeemable perpetual preferred stock,"['fortress', '9.375', '%']",0.0,united states
430,fbrx,forte biosciences inc. common stock,['forte'],22238083.0,united states
431,fdmt,4d molecular therapeutics inc. common stock,['4d'],561351412.0,united states
434,fgen,fibrogen inc common stock,['fibrogen'],1647259183.0,united states
436,fixx,homology medicines inc. common stock,['homology'],57101651.0,united states
440,fnch,finch therapeutics group inc. common stock,['finch'],18742819.0,united states
441,fold,amicus therapeutics inc. common stock,['amicus'],3430743346.0,united states
443,freq,frequency therapeutics inc. common stock,['frequency'],14185308.0,united states
446,fulc,fulcrum therapeutics inc. common stock,['fulcrum'],175086748.0,united states
448,fwbi,first wave biopharma inc. common stock,"['first', 'wave']",4227412.0,united states
449,galt,galectin therapeutics inc. common stock,['galectin'],101680090.0,united states
450,ganx,gain therapeutics inc. common stock,['gain'],64289021.0,united states
451,gbio,generation bio co. common stock,['generation'],307312874.0,united states
454,gdtc,cytomed therapeutics limited ordinary shares,['cytomed'],0.0,singapore
457,gern,geron corporation common stock,['geron'],1401556236.0,united states
460,ghrs,gh research plc ordinary shares,['gh'],472089205.0,ireland
463,glmd,galmed pharmaceuticals ltd. ordinary shares,['galmed'],8438892.0,israel
464,glpg,galapagos nv american depositary shares,['galapagos'],2813475446.0,belgium
465,glsi,greenwich lifesciences inc. common stock,['greenwich'],144863060.0,united states
466,glto,galecto inc. common stock,['galecto'],55197969.0,denmark
467,glue,monte rosa therapeutics inc. common stock,"['monte', 'rosa']",254199020.0,united states
468,glyc,glycomimetics inc. common stock,['glycomimetics'],98295193.0,united states
474,gnlx,genelux corporation common stock,['genelux'],610890334.0,united states
475,gnpx,genprex inc. common stock,['genprex'],42099003.0,united states
477,goss,gossamer bio inc. common stock,['gossamer'],128229156.0,united states
478,govx,geovax labs inc. common stock,['geovax'],16066955.0,united states
479,govxw,geovax labs inc. warrants,['geovax'],0.0,united states
480,grcl,gracell biotechnologies inc. american depositary shares,"['gracell', 'biotechnologies']",139461512.0,china
481,grfs,grifols s.a. american depositary shares,"['grifols', 's.a.']",5081296098.0,spain
482,gri,gri bio inc. common stock,['gri'],93837100.0,united states
483,grna,greenlight biosciences holdings pbc common stock,"['greenlight', 'pbc']",34977711.0,united states
484,grnaw,greenlight biosciences holdings pbc warrant,"['greenlight', 'pbc']",0.0,united states
488,gtbp,gt biopharma inc. common stock,['gt'],11035419.0,united states
490,gthx,g1 therapeutics inc. common stock,['g1'],158847265.0,united states
493,harp,harpoon therapeutics inc. common stock,['harpoon'],24984995.0,united states
495,hcm,hutchmed (china) limited american depositary shares,['hutchmed'],2764746034.0,hong kong
497,hcwb,hcw biologics inc. common stock,"['hcw', 'biologics']",53112220.0,united states
498,hepa,hepion pharmaceuticals inc. common stock,['hepion'],50128602.0,united states
500,hgen,humanigen inc. common stock,['humanigen'],19338614.0,united states
502,hils,hillstream biopharma inc. common stock,['hillstream'],4890057.0,united states
504,hlvx,hillevax inc. common stock,['hillevax'],553651265.0,united states
505,hook,hookipa pharma inc. common stock,['hookipa'],90291859.0,united states
507,howl,werewolf therapeutics inc. common stock,['werewolf'],99489092.0,united states
509,hrmy,harmony biosciences holdings inc. common stock,['harmony'],2149449548.0,united states
510,hrow,harrow health inc. common stock,['harrow'],809428900.0,united states
511,hrowl,harrow health inc. 8.625% senior notes due 2026,"['harrow', '8.625', '%', 'senior', 'notes', 'due', '2026']",0.0,united states
512,hrowm,harrow health inc. 11.875% senior notes due 2027,"['harrow', '11.875', '%', 'senior', 'notes', 'due', '2027']",0.0,united states
520,huma,humacyte inc. common stock,['humacyte'],478930531.0,united states
521,humaw,humacyte inc. warrant,['humacyte'],0.0,united states
524,ibio,ibio inc. common stock,['ibio'],13560304.0,united states
527,iccc,immucell corporation common stock,['immucell'],37959634.0,united states
528,icpt,intercept pharmaceuticals inc. common stock,['intercept'],677972852.0,united states
529,icu,seastar medical holding corporation common stock,['seastar'],26593032.0,united states
530,icucw,seastar medical holding corporation warrant,['seastar'],0.0,united states
532,icvx,icosavax inc. common stock,['icosavax'],276672794.0,united states
533,idya,ideaya biosciences inc. common stock,['ideaya'],1087683035.0,united states
534,ifrx,inflarx n.v. common stock,['inflarx'],252874635.0,germany
535,igms,igm biosciences inc. common stock,['igm'],555990678.0,united states
538,ikna,ikena oncology inc. common stock,['ikena'],274831797.0,united states
539,ikt,inhibikase therapeutics inc. common stock,['inhibikase'],18835205.0,united states
540,imab,i-mab american depositary shares,['i-mab'],252708414.0,china
544,imgn,immunogen inc. common stock,['immunogen'],2991720239.0,united states
545,immp,immutep limited american depositary shares,['immutep'],145523425.0,australia
548,imnn,imunon inc. common stock,['imunon'],12543909.0,united states
549,impl,impel pharmaceuticals inc. common stock,['impel'],60552955.0,united states
550,imrn,immuron limited american depositary shares,['immuron'],10706521.0,australia
551,imrx,immuneering corporation class a common stock,['immuneering'],218325367.0,united states
554,imux,immunic inc. common stock,['immunic'],73710371.0,united states
555,imvt,immunovant inc. common stock,['immunovant'],1589601856.0,united states
556,inab,in8bio inc. common stock,['in8bio'],57606914.0,united states
558,inbx,inhibrx inc. common stock,['inhibrx'],1171830697.0,united states
559,incr,intercure ltd. ordinary shares,['intercure'],102994322.0,israel
560,indp,indaptus therapeutics inc. common stock,['indaptus'],20751426.0,united states
561,infi,infinity pharmaceuticals inc. common stock,['infinity'],15568394.0,united states
566,inmb,inmune bio inc. common stock,['inmune'],150387438.0,united states
570,insm,insmed incorporated common stock,['insmed'],2661719372.0,united states
572,inva,innoviva inc. common stock,['innoviva'],802525328.0,united states
574,inzy,inozyme pharma inc. common stock,['inozyme'],256199241.0,united states
575,iobt,io biotech inc. common stock,['io'],64834351.0,denmark
577,ions,ionis pharmaceuticals inc. common stock,['ionis'],5175874329.0,united states
578,iova,iovance biotherapeutics inc. common stock,['iovance'],1523671235.0,united states
579,ipa,immunoprecise antibodies ltd. common stock,['immunoprecise'],66939210.0,canada
580,ipha,innate pharma s.a. ads,"['innate', 's.a.', 'ads']",239367143.0,france
584,iron,disc medicine inc. common stock,['disc'],612026460.0,united states
586,irwd,ironwood pharmaceuticals inc. class a common stock,['ironwood'],1651803463.0,united states
587,isee,iveric bio inc. common stock,['iveric'],5205849562.0,united states
